class,f1_mean,f1_std,n_seeds
0,0.6706117927736132,0.036323888542574866,5
1,0.47978033128718056,0.06084570561250642,5
2,0.7726634637964975,0.030071506656502642,5
3,0.7477286614117085,0.05455861702255454,5
4,0.9659345347558677,0.038882221427230246,5
5,0.8916987221345979,0.0755794035168016,5
6,0.5501848713055797,0.08283787372649455,5
7,0.9065999761249893,0.042054017112289545,5
8,0.8514858709155805,0.07654123615237356,5
9,0.5920159668833307,0.05874169797788105,5
10,0.8828145097099392,0.048830108250788574,5
11,0.37546807834770524,0.22750080426177496,5
12,0.4631087972354856,0.08651965894918127,5
13,0.9530807180009081,0.02873364589837201,5
14,0.34164070536759167,0.23562664719424564,5
15,0.7843215129596934,0.05991646319756547,5
16,0.9934640522875817,0.014614823382351564,5
17,0.5418624024948204,0.09353519053440215,5
18,0.7650241356160589,0.05825270664712029,5
19,0.6395741400334545,0.057486120993903496,5
20,0.7487503634238234,0.07992079231316968,5
21,0.5230645260351301,0.12379300787534477,5
22,0.49254150551816644,0.11595970607260343,5
23,0.6063280819172769,0.05411783815615709,5
24,0.3987943849813116,0.12596668728933547,5
25,0.7959697357639168,0.07718751178408503,5
26,0.9044167594364442,0.05116559006551089,5
