class,f1_mean,f1_std,n_seeds
0,0.6694685643409485,0.05872535271753282,5
1,0.7366295979087403,0.07777108246137865,5
2,0.9365302144852018,0.013287090293053116,5
3,0.8817044984001505,0.0776115343393453,5
4,0.9572874376437861,0.0288759597048466,5
5,0.9519249422256941,0.0400768255708317,5
6,0.48453561062390926,0.08456351703558203,5
7,0.9671058350769783,0.04432702228635913,5
8,0.9142321043249835,0.07068452077560146,5
9,0.6407755796301092,0.09395945854195106,5
10,0.9104857818758468,0.08433479451557618,5
11,0.7230083871736535,0.07021730334332929,5
12,0.6262161470831453,0.08791724907718827,5
13,0.9852108390503659,0.018299926116833815,5
14,0.6424022862779719,0.138121101316537,5
15,0.8839572696715553,0.17249080225134986,5
16,0.9275492462881105,0.06555032400852209,5
17,0.9172379598891602,0.0993728445694588,5
18,0.8679766159182666,0.048354684767695,5
19,0.7586061769777162,0.07028008607873784,5
20,0.7198096713630178,0.07191330445767943,5
21,0.5326590130163974,0.09006797954874218,5
22,0.6670562329120835,0.07224704839651783,5
23,0.7401388421811192,0.060854636566822634,5
24,0.38988671440149547,0.16169349551808293,5
25,0.8951901871161579,0.08721203721795552,5
26,0.9958616780045352,0.006195758712300751,5
