class,f1_mean,f1_std,n_seeds
0,0.6573858851130654,0.05510326366841702,5
1,0.6898779847425044,0.12175809374621703,5
2,0.8767651238006209,0.05911353876766892,5
3,0.8901577585631977,0.013818972205874833,5
4,0.9496718755530289,0.06621658629855963,5
5,0.9184707020687564,0.016282317015704154,5
6,0.5379174122860044,0.08796405489140617,5
7,0.9005559518397911,0.021259853162778695,5
8,0.8231415449636801,0.058476984415260135,5
9,0.7370003498576664,0.04490055230206925,5
10,0.8102239035257304,0.07755036812785417,5
11,0.707756309277279,0.015969023004906945,5
12,0.4765399393682238,0.06156779662303755,5
13,0.8792539435394928,0.05170785854807623,5
14,0.20654086509973255,0.10241096142839527,5
15,0.4621050957560661,0.07023815323491571,5
16,0.9125302512310874,0.050519016324117975,5
17,0.7012116867051077,0.07140814489322875,5
18,0.734364687888894,0.0463131493133147,5
19,0.7130827513650049,0.08237829932918693,5
20,0.8757758132818141,0.02607318766598233,5
21,0.36203730581980736,0.038843737437767006,5
22,0.4779077904587713,0.07244472560019595,5
23,0.5782706824486905,0.024549762134202575,5
24,0.20044021252225588,0.023510816171527872,5
25,0.9697251526443779,0.03786132888017053,5
26,1.0,0.0,5
