class,f1_mean,f1_std,n_seeds
0,0.5471222566211794,0.051530282755766314,5
1,0.6002898140318893,0.07025453278968391,5
2,0.8543893186509782,0.04607792432642304,5
3,0.9284832192974498,0.010628484481993118,5
4,0.9082673732510036,0.041625247110098976,5
5,0.9590110478825947,0.06213515037806805,5
6,0.3529347289424311,0.06464162508781933,5
7,0.8451877558079207,0.01750314689295191,5
8,0.9609649918374752,0.005649560499538827,5
9,0.6581898108341355,0.03999617497044958,5
10,0.8019951859063191,0.0776635997397882,5
11,0.6864021923324735,0.015471521267592684,5
12,0.5268282505530023,0.04319232406952238,5
13,0.9300996105501014,0.06371044274519996,5
14,0.5626814179282517,0.06289684000276262,5
15,0.6762275497039647,0.12367812604626732,5
16,1.0,0.0,5
17,0.8202374665929746,0.08465094460960476,5
18,0.7829124352557332,0.02173792334872234,5
19,0.7464577578729182,0.03446153508315308,5
20,0.8040157743962958,0.0718413556096697,5
21,0.5215535020136584,0.08165813884399763,5
22,0.7287326498540417,0.05204187781631723,5
23,0.7694494093477144,0.04274573970533831,5
24,0.45278556259358016,0.10927902821975359,5
25,0.8447199747251908,0.05957085868808547,5
26,0.9741902460880564,0.03139269573011952,5
