class,f1_mean,f1_std
0,0.5102046303995577,0.07029344327482993
1,0.68309979061818,0.1232094949985538
2,0.8247098005007716,0.05915798277215736
3,0.963756509333453,0.01679708184408422
4,0.9132369453059228,0.048864101070128375
5,0.8801855669387024,0.05964163346833208
6,0.22485770616072115,0.09610154675734658
7,1.0,0.0
8,0.9543642933713855,0.053798716048082465
9,0.46852704671825507,0.06569285230917722
10,0.9569803749521958,0.021342661595411067
11,0.5857005247697761,0.09960589034081098
12,0.30505329431657247,0.06353743501956789
13,0.8598549761664019,0.08014718453975907
14,0.8652882620848837,0.05700008816387892
15,0.8376827136720486,0.0519056584539444
16,0.7831211645407665,0.06258347162474495
17,0.5553786619837277,0.03008967399285035
18,0.8120390702928265,0.07359947325604017
19,0.4137595254483637,0.11375952702669596
20,0.6427982149958226,0.07827267983372449
21,0.5056029287805421,0.06339432272007434
22,0.15072739533701418,0.07794001315078125
23,0.8086968637815561,0.05585219865596798
24,0.28585837039655276,0.11013460345678101
25,0.8057323428586006,0.0347394684307874
26,0.9394536045083035,0.03612117802887953
