class,f1_mean,f1_std
0,0.17329969045269902,0.14031204899158725
1,0.43338837231507404,0.11434975529707468
2,0.674608477608999,0.07821155514141359
3,0.7291089583844343,0.2705179300544155
4,0.829863848377417,0.04683961329608511
5,0.7641937611636012,0.10531186285405933
6,0.31722259576960987,0.07541037256829679
7,0.9944248854593682,0.008151959717958514
8,0.902736995678844,0.11433690005839842
9,0.4664783644745311,0.06307147701842716
10,0.8719430838262611,0.07927234991868784
11,0.5012467229454711,0.09211870747897645
12,0.25878726295137805,0.1472915335271577
13,0.819670517136187,0.04590559414434382
14,0.7306743339413371,0.1299354235201115
15,0.7394186720942966,0.0816827382752388
16,0.8253536583617365,0.02632191800195738
17,0.39629570533837405,0.05646962841358592
18,0.818587792239103,0.11408897847828034
19,0.5084765851545489,0.1732788663622757
20,0.42739007034635,0.07598745144652128
21,0.2974021935717397,0.07425435757626433
22,0.2841475481822222,0.07774482431787023
23,0.752802933684604,0.08157055649298621
24,0.21587111692953123,0.062440933507923145
25,0.847880569123365,0.040669999026339276
26,0.8891113510646358,0.022968739808215517
