class,f1_mean,f1_std,n_seeds
0,0.32197130019225695,0.18755775994366705,5
1,0.19381948673053168,0.16737387640039014,5
2,0.7357566232130726,0.04476888629920886,5
3,0.8816664052776673,0.12984872733478164,5
4,0.8153221577062638,0.04552554102773454,5
5,0.822700867379784,0.04425759359873858,5
6,0.4237418034331285,0.11507632770756202,5
7,0.8058832286692466,0.0867558727471679,5
8,0.9478368465460919,0.02337749635303038,5
9,0.4153632495086274,0.059193384582627746,5
10,0.7815023126734505,0.1850559857310348,5
11,0.2934165181224005,0.270623990544077,5
12,0.3899127084204762,0.10911636511004197,5
13,0.8728581588041744,0.06925225970845017,5
14,0.3537111972992448,0.2453869895419887,5
15,0.5870101436134435,0.06851729304220597,5
16,0.9396098236849058,0.04376632872279767,5
17,0.191700766526486,0.1561446473527135,5
18,0.5439254805400792,0.16366430870305845,5
19,0.6035272109891552,0.07757730653332029,5
20,0.18682449404360724,0.07251282302245121,5
21,0.29349262587931285,0.13887960183429296,5
22,0.0792175378967168,0.048991397261943966,5
23,0.6275636888419823,0.06580225133843405,5
24,0.07902275338449154,0.03422555326038439,5
25,0.7716785957702756,0.027512806628683703,5
26,0.8047873774394985,0.08642065461130541,5
