class,f1_mean,f1_std,n_seeds
0,0.3938287735777398,0.037927859599035156,5
1,0.3800802699079007,0.20466961174336656,5
2,0.8270138125395506,0.06590992160611374,5
3,0.9848871128871128,0.018188127260538294,5
4,0.8960268984109959,0.034974302133084105,5
5,0.8728958745851925,0.10477920429495574,5
6,0.42244915600787525,0.126408964293099,5
7,0.921622979053003,0.029836154506716974,5
8,0.9844368397559886,0.007823443761418854,5
9,0.5204443661242009,0.060036414865867506,5
10,0.8717749026597048,0.05414442239642981,5
11,0.4651212555007992,0.1632840266812033,5
12,0.5207701706184145,0.046581212509606985,5
13,0.985392051557465,0.02301964075446052,5
14,0.4088914677050942,0.3903661493892571,5
15,0.7907202154976768,0.06873224006998815,5
16,0.9604210431253118,0.046554288473907385,5
17,0.5377734127734127,0.1630510030294339,5
18,0.7911694769014784,0.03459294977281205,5
19,0.7317358499683697,0.11453351078692592,5
20,0.5054866694203304,0.1474587934863982,5
21,0.4502624211805582,0.09622682271967885,5
22,0.4507123341933978,0.20991906921324205,5
23,0.7026308281648734,0.04699742637296212,5
24,0.41462040243170184,0.12344973042164341,5
25,0.7524284444695228,0.034902212626110235,5
26,0.9598673600871515,0.03857030653383829,5
