epoch,gate_mean,gate_std,gate_entropy,gate_min,gate_max,n_samples
1,0.110508,0.091854,0.294935,0.000000,0.392092,16488
2,0.123622,0.116415,0.299822,0.000000,0.436374,16488
3,0.113231,0.130639,0.262159,0.000000,0.440592,16488
4,0.077461,0.101237,0.202921,0.000000,0.427974,16488
5,0.072908,0.098304,0.193637,0.000000,0.428778,16488
6,0.074594,0.102690,0.192408,0.000000,0.431314,16488
7,0.068240,0.098372,0.178316,0.000000,0.430784,16488
8,0.066916,0.101251,0.172320,0.000000,0.430162,16488
9,0.065666,0.101603,0.167593,0.000000,0.422094,16488
10,0.000960,0.003221,0.005885,0.000000,0.121499,16488
11,0.000080,0.001091,0.000545,0.000000,0.065788,16488
12,0.000050,0.000815,0.000338,0.000000,0.043251,16488
13,0.000115,0.002555,0.000594,0.000000,0.144238,16488
14,0.000284,0.003817,0.001514,0.000000,0.181437,16488
15,0.000048,0.002275,0.000193,0.000000,0.193131,16488
16,0.000045,0.002118,0.000171,0.000000,0.178201,16488
17,0.000051,0.002432,0.000184,0.000000,0.202092,16488
18,0.000045,0.001918,0.000186,0.000000,0.160379,16488
19,0.000050,0.002140,0.000192,0.000000,0.172658,16488
20,0.000026,0.001689,0.000084,0.000000,0.139015,16488
21,0.000033,0.002343,0.000094,0.000000,0.216983,16488
22,0.000020,0.001538,0.000066,0.000000,0.163566,16488
23,0.000013,0.001015,0.000049,0.000000,0.097406,16488
24,0.000001,0.000044,0.000004,0.000000,0.004973,16488
25,0.000000,0.000000,0.000000,0.000000,0.000002,16488
26,0.000000,0.000002,0.000000,0.000000,0.000187,16488
27,0.000017,0.000937,0.000072,0.000000,0.073114,16488
28,0.000005,0.000346,0.000023,0.000000,0.039578,16488
29,0.000004,0.000282,0.000019,0.000000,0.029252,16488
30,0.000007,0.000515,0.000029,0.000000,0.049408,16488
31,0.000004,0.000319,0.000021,0.000000,0.029237,16488
32,0.000006,0.000432,0.000027,0.000000,0.039602,16488
33,0.000017,0.001018,0.000066,0.000000,0.082713,16488
34,0.000014,0.000799,0.000057,0.000000,0.064122,16488
35,0.000026,0.001593,0.000088,0.000000,0.149633,16488
36,0.000022,0.001487,0.000073,0.000000,0.128932,16488
37,0.000018,0.001183,0.000066,0.000000,0.092543,16488
38,0.000023,0.001260,0.000087,0.000000,0.103244,16488
39,0.000016,0.000974,0.000063,0.000000,0.086118,16488
40,0.000007,0.000616,0.000027,0.000000,0.074665,16488
41,0.000006,0.000588,0.000026,0.000000,0.071892,16488
42,0.000014,0.001062,0.000051,0.000000,0.094559,16488
43,0.000000,0.000000,0.000000,0.000000,0.000031,16488
44,0.000000,0.000000,0.000000,0.000000,0.000010,16488
45,0.000000,0.000000,0.000000,0.000000,0.000003,16488
46,0.000000,0.000000,0.000000,0.000000,0.000000,16488
47,0.000000,0.000000,0.000000,0.000000,0.000001,16488
48,0.000000,0.000000,0.000000,0.000000,0.000000,16488
49,0.000002,0.000197,0.000010,0.000000,0.023182,16488
50,0.000001,0.000048,0.000008,0.000000,0.003588,16488
51,0.000002,0.000182,0.000014,0.000000,0.022102,16488
52,0.000000,0.000000,0.000000,0.000000,0.000000,16488
53,0.000000,0.000000,0.000000,0.000000,0.000000,16488
54,0.000000,0.000000,0.000000,0.000000,0.000000,16488
55,0.000000,0.000000,0.000000,0.000000,0.000000,16488
56,0.000000,0.000000,0.000000,0.000000,0.000000,16488
