class,f1_mean,f1_std,n_seeds
0,0.42149855180546225,0.033224429239594615,5
1,0.3644558975572319,0.07640499492948023,5
2,0.7655223673137431,0.04382663607898002,5
3,0.8660524783039201,0.10645983000816675,5
4,0.8582293713559477,0.0719975710496861,5
5,0.8510120939695411,0.03997753720653512,5
6,0.35835605297808215,0.08847213255371791,5
7,0.8797833777421449,0.04523340533527811,5
8,0.9461025963771249,0.0933561498562506,5
9,0.4957766801623924,0.08972389512845814,5
10,0.8392243245234099,0.08147991703804812,5
11,0.45798186021010584,0.22134330664229682,5
12,0.5363950251060362,0.06544759465075159,5
13,0.9495662212550258,0.04780509760907565,5
14,0.39663864248711134,0.2371499910380617,5
15,0.7519731609363907,0.13983885011155714,5
16,0.9623539982030549,0.05448034375313481,5
17,0.517400749724313,0.15089901802689515,5
18,0.7446401041194705,0.09087837665519632,5
19,0.6400121605309325,0.15113871877378018,5
20,0.6657282545564157,0.10427738348538163,5
21,0.38165358124080534,0.1760393539350708,5
22,0.46555200991559176,0.2557111635042112,5
23,0.7369198408617152,0.039571096804179015,5
24,0.3370284124023023,0.2634492962397082,5
25,0.7717700415290081,0.02521135746781989,5
26,0.9229445759495022,0.11021254835909593,5
