class,f1_mean,f1_std,n_seeds
0,0.3824366671422897,0.03870983631009246,5
1,0.35994194592113354,0.19502902413350934,5
2,0.7752391549942097,0.07474462234801463,5
3,0.9838197636629887,0.022151063948331006,5
4,0.9060104627501964,0.027009414814792247,5
5,0.8964188155300254,0.040722194431969776,5
6,0.3596378507923981,0.045695448558819365,5
7,0.9138294127496994,0.06945470201074906,5
8,0.9025878569608183,0.10763677457697186,5
9,0.48101300871429054,0.06827729572046616,5
10,0.9566433652705877,0.03805131781705658,5
11,0.5447717700842023,0.026072757072460657,5
12,0.5171464530427705,0.07019949743239769,5
13,0.9851336636693123,0.018294990318424294,5
14,0.677877912876958,0.07644260721036926,5
15,0.775446714423515,0.04247341265884314,5
16,0.9819354838709679,0.02473585743571718,5
17,0.6489216284204867,0.08398610103578678,5
18,0.7469636570605966,0.05070138569570568,5
19,0.7029859542363488,0.14012540368880336,5
20,0.5821836518686913,0.03389762740437051,5
21,0.474584165816219,0.14980764661286833,5
22,0.35675523922729624,0.20168798302087426,5
23,0.7090683253699279,0.07867740962441763,5
24,0.3510533724492614,0.15650057455751354,5
25,0.7696448229218951,0.051609126244336535,5
26,0.9150997872982213,0.06954767255737772,5
