epoch,gate_mean,gate_std,gate_entropy,gate_min,gate_max,n_samples
1,0.001699,0.004334,0.010304,0.000000,0.149102,16488
2,0.000001,0.000119,0.000009,0.000000,0.013601,16488
3,0.000001,0.000107,0.000007,0.000000,0.013071,16488
4,0.000001,0.000074,0.000007,0.000000,0.007268,16488
5,0.000001,0.000064,0.000006,0.000000,0.007461,16488
6,0.000004,0.000356,0.000021,0.000000,0.039760,16488
7,0.000000,0.000025,0.000002,0.000000,0.003153,16488
8,0.000000,0.000012,0.000001,0.000000,0.001568,16488
9,0.000000,0.000015,0.000001,0.000000,0.001937,16488
10,0.000000,0.000011,0.000001,0.000000,0.001343,16488
11,0.000000,0.000007,0.000001,0.000000,0.000908,16488
12,0.000000,0.000001,0.000000,0.000000,0.000065,16488
13,0.000000,0.000000,0.000000,0.000000,0.000045,16488
14,0.000000,0.000000,0.000000,0.000000,0.000028,16488
15,0.000000,0.000000,0.000000,0.000000,0.000020,16488
16,0.000000,0.000000,0.000000,0.000000,0.000028,16488
17,0.000000,0.000000,0.000000,0.000000,0.000023,16488
18,0.000000,0.000000,0.000000,0.000000,0.000015,16488
19,0.000000,0.000000,0.000000,0.000000,0.000005,16488
20,0.000000,0.000000,0.000000,0.000000,0.000005,16488
21,0.000000,0.000000,0.000000,0.000000,0.000005,16488
22,0.000000,0.000000,0.000000,0.000000,0.000005,16488
23,0.000000,0.000000,0.000000,0.000000,0.000006,16488
24,0.000000,0.000000,0.000000,0.000000,0.000006,16488
25,0.000000,0.000000,0.000000,0.000000,0.000009,16488
26,0.000000,0.000000,0.000000,0.000000,0.000009,16488
27,0.000000,0.000000,0.000000,0.000000,0.000007,16488
28,0.000000,0.000000,0.000000,0.000000,0.000007,16488
29,0.000000,0.000000,0.000000,0.000000,0.000007,16488
30,0.000000,0.000000,0.000000,0.000000,0.000008,16488
31,0.000000,0.000000,0.000000,0.000000,0.000008,16488
32,0.000000,0.000000,0.000000,0.000000,0.000020,16488
33,0.000000,0.000000,0.000000,0.000000,0.000004,16488
34,0.000000,0.000000,0.000000,0.000000,0.000003,16488
35,0.000000,0.000000,0.000000,0.000000,0.000002,16488
36,0.000000,0.000000,0.000000,0.000000,0.000002,16488
37,0.000000,0.000000,0.000000,0.000000,0.000001,16488
38,0.000000,0.000000,0.000000,0.000000,0.000000,16488
39,0.000000,0.000000,0.000000,0.000000,0.000000,16488
40,0.000000,0.000000,0.000000,0.000000,0.000000,16488
41,0.000000,0.000000,0.000000,0.000000,0.000000,16488
42,0.000000,0.000000,0.000000,0.000000,0.000000,16488
43,0.000000,0.000000,0.000000,0.000000,0.000000,16488
