class,f1_mean,f1_std,n_seeds
0,0.4329178578235182,0.039333011080284135,5
1,0.2542166937706918,0.09365318493385967,5
2,0.7578354093780613,0.02544080539779452,5
3,0.9986206896551725,0.003084231693103164,5
4,0.7980201583136499,0.04564384990716124,5
5,0.8947114042376182,0.051426507196485206,5
6,0.4758941100595321,0.09409298645330083,5
7,0.8845738062620928,0.03112194358111853,5
8,0.9801412731709405,0.006054236212519621,5
9,0.5581207747905566,0.03815765176684086,5
10,0.9216442055755358,0.07164981707917764,5
11,0.5962590223485746,0.09720364740367608,5
12,0.4642237885134911,0.0732891394358292,5
13,0.9840969666916484,0.024658821367100257,5
14,0.6611396338313342,0.10695203816159268,5
15,0.7839418587429288,0.0648701875629893,5
16,0.9907633321714883,0.012851654977055841,5
17,0.5395713799530594,0.09225368782101362,5
18,0.6982943839820995,0.05763192454626334,5
19,0.7674894567170556,0.13358691257930444,5
20,0.3151163545044023,0.11657979601932829,5
21,0.5083726278531474,0.21144037419624045,5
22,0.6071589383519073,0.1116795545952048,5
23,0.6902280215678631,0.0762843286711423,5
24,0.44123277027386615,0.26473981945937514,5
25,0.7517200309787622,0.039743517331812334,5
26,0.8890928127037574,0.05787026149867741,5
