class,f1_mean,f1_std,n_seeds
0,0.19068094725628537,0.10487848311619387,5
1,0.18328772408909724,0.09823240005588726,5
2,0.0742544891821137,0.07052994473370736,5
3,0.2628615778600628,0.09924758457058297,5
4,0.03351991615483251,0.049233745378667586,5
5,0.1379823620960251,0.06229598010452994,5
6,0.055670570886366656,0.06893361369878294,5
7,0.008391608391608392,0.01876420680419404,5
8,0.22442411609347782,0.0817950792255226,5
9,0.0027777777777777775,0.006211299937499415,5
10,0.0,0.0,5
11,0.022426652154774906,0.019078508785482978,5
12,0.054750454951422264,0.046745190504688366,5
13,0.04235113526038416,0.058981611627359855,5
14,0.018469119931437142,0.03420372239115185,5
15,0.0,0.0,5
16,0.04762917726043307,0.048018865217346614,5
17,0.042882539682539675,0.0603241700528685,5
18,0.03791679898380438,0.052369479648402086,5
19,0.06859044162129461,0.06163197641897495,5
20,0.025338324215375758,0.038503770666426636,5
21,0.011562998405103667,0.016425302969733636,5
22,0.008486343612334801,0.012191652678766993,5
23,0.011764705882352941,0.026306682088232818,5
24,0.011695906432748537,0.0261528418421028,5
25,0.014457831325301203,0.032328693650599365,5
26,0.0,0.0,5
