class,f1_mean,f1_std,n_seeds
0,0.4223021450553489,0.041036658093590556,5
1,0.6619898492143852,0.11521987269208947,5
2,0.8919619535223345,0.0588582320736188,5
3,0.9462034739454094,0.07606226103750799,5
4,0.9661982723102682,0.024564674374092953,5
5,0.8829717852235269,0.061181033207417676,5
6,0.4241104591162877,0.10978780422088943,5
7,0.9470722940475514,0.04144492354820384,5
8,0.9502984005729292,0.09564879664831537,5
9,0.6068319683497768,0.03002884368276481,5
10,0.8514557084706338,0.07026710250587971,5
11,0.7046756345164629,0.07247852078932113,5
12,0.56358049551509,0.06741552033673205,5
13,0.9475562031953011,0.06625998763197158,5
14,0.5424088403867153,0.2252064383159363,5
15,0.7723937198189172,0.09901918983259647,5
16,0.8839050542446365,0.08314898511422131,5
17,0.6269997057534304,0.03805952177235211,5
18,0.7657047891220219,0.0472932540962265,5
19,0.6555949859779442,0.07617696846755248,5
20,0.6653959745665313,0.06481197567533283,5
21,0.45628745086689004,0.1537466056601928,5
22,0.3664008898614937,0.03968362799819727,5
23,0.672118025073402,0.04888655178890544,5
24,0.6201371073854296,0.05160979878500851,5
25,0.7964367843320984,0.06538494315634219,5
26,0.9382136622765049,0.029246283974764944,5
