class,f1_mean,f1_std,n_seeds
0,0.42494829897398007,0.027105373936749808,5
1,0.4430628906722066,0.13051594319230544,5
2,0.7851904275037456,0.040233003980679416,5
3,1.0,0.0,5
4,0.9617786794369136,0.013704867418164584,5
5,0.9024530392175208,0.03743869152779913,5
6,0.5565115540864243,0.06812475703865012,5
7,0.8906106742920074,0.018922243258074838,5
8,0.9664603664066751,0.004586700559061381,5
9,0.725514957498218,0.04898635434238089,5
10,0.8769747576379388,0.1142331264071443,5
11,0.685957886694083,0.021298902265455527,5
12,0.4423419006241664,0.04169620153834384,5
13,0.9331495563973913,0.06855187073916144,5
14,0.5161181725039912,0.11754083550060725,5
15,0.6246366878535319,0.1348144885003995,5
16,1.0,0.0,5
17,0.8367080470780568,0.0164286671868986,5
18,0.7328045068374902,0.053704741979122186,5
19,0.775359340444093,0.03422753194810288,5
20,0.8478542617378151,0.021670643621022407,5
21,0.32426397170533194,0.08303049968421664,5
22,0.5793317088351314,0.04599642762877673,5
23,0.744666166692716,0.04137647503112345,5
24,0.5030013672706779,0.1737421999374737,5
25,0.8859031248825252,0.06220351857493937,5
26,0.9945945945945945,0.00740165618250223,5
