class,f1_mean,f1_std,n_seeds
0,0.3746938297417796,0.0160682758651205,5
1,0.47472357059652365,0.05777090202901284,5
2,0.7651392687955074,0.02580891700694021,5
3,0.9986206896551725,0.003084231693103164,5
4,0.9720261849494694,0.00838675457477691,5
5,0.8963880908780135,0.027820240829099157,5
6,0.2994131276208757,0.021963327791295253,5
7,0.8991851599483226,0.00840679507923539,5
8,0.9392774984489998,0.02559748947731314,5
9,0.6111796062238427,0.07772237607075615,5
10,0.925167634869554,0.02659023602618681,5
11,0.6390144718843562,0.008471677905672293,5
12,0.3992379353953705,0.04439243298030353,5
13,0.9836916032610749,0.01026255197679239,5
14,0.43120644465454233,0.11322597079040464,5
15,0.8022158028763476,0.07605080437478397,5
16,1.0,0.0,5
17,0.7038784620095457,0.08374276955411886,5
18,0.6919369284408547,0.0789131956157953,5
19,0.7821381197350519,0.09254175402157888,5
20,0.8167740156824719,0.026521953573447995,5
21,0.3463144097171581,0.1324164913067338,5
22,0.5658539624555418,0.012083886150169353,5
23,0.6526614408361329,0.03294708348078096,5
24,0.14908254313007696,0.08723504815810973,5
25,0.8763764864721753,0.059628458577861,5
26,0.9656825005067013,0.020557368376639493,5
