class,f1_mean,f1_std
0,0.04905972112405326,0.0408310702238995
1,0.05077140940469958,0.028867712805286837
2,0.030937950937950938,0.044515001807417576
3,0.12068628551065848,0.11112834228350704
4,0.05657894159884047,0.028143664955275483
5,0.07183178339174637,0.036775040297476774
6,0.09138815409630549,0.065507379968023
7,0.02765968009960231,0.017265643398370577
8,0.5109598772809643,0.13918209150948888
9,0.07441362677555216,0.04995202526521905
10,0.0919581972645452,0.04653047168014386
11,0.026851290405297372,0.03048159445004235
12,0.010466359740483742,0.008547021349046991
13,0.04378416468102567,0.03288284965326851
14,0.009375,0.01875
15,0.008514492753623187,0.010432014528179687
16,0.037903053555227474,0.037290062558293854
17,0.009950248756218905,0.01990049751243781
18,0.045903447149399645,0.026386419242873792
19,0.30617408779463645,0.03083016133057186
20,0.055767590618336894,0.04569774925267026
21,0.033197278911564626,0.028753549781154915
22,0.05069597645178099,0.03597021457080238
23,0.040482939632545935,0.044342837679420065
24,0.033060466103944364,0.036103848129893513
25,0.005594405594405594,0.011188811188811189
26,0.029580988117573488,0.04471242943236428
