channel,mean_gate_overall,cor_wifi_f1,cor_imu_f1,cor_imu_sigma
0,0.3091,+0.1075,-0.7539,+0.6626
1,0.0239,-0.4246,+0.3369,-0.5572
2,0.3185,-0.0135,-0.6866,+0.3920
3,0.9038,+0.7902,-0.4888,+0.3533
4,0.1827,+0.6257,+0.5159,-0.7932
5,0.0346,-0.4271,+0.3397,-0.5581
6,0.0216,-0.4226,+0.3350,-0.5569
7,0.0230,-0.4232,+0.3485,-0.5681
8,0.0602,-0.4648,+0.3466,-0.5399
9,0.0462,-0.4139,+0.3319,-0.5597
10,0.0547,-0.3458,+0.0095,-0.3107
11,0.2380,+0.6799,+0.4514,-0.6697
12,0.8733,+0.3741,-0.2715,+0.5373
13,0.3661,+0.2608,+0.6184,-0.4730
14,0.0111,-0.4158,+0.3031,-0.5357
15,0.0202,-0.4231,+0.3411,-0.5617
16,0.7779,+0.7579,-0.3226,-0.1907
17,0.7663,+0.7497,-0.2712,+0.1779
18,0.7111,-0.5667,-0.5450,+0.8708
19,0.0476,-0.3781,+0.0925,-0.3553
20,0.5807,+0.3904,-0.6375,+0.2799
21,0.1502,-0.4096,+0.1971,-0.4383
22,0.6300,-0.4200,-0.6128,+0.9521
23,0.7768,-0.0171,+0.7485,-0.4472
24,0.0359,-0.8082,+0.5249,-0.3548
25,0.4130,+0.1601,+0.7161,-0.5815
26,0.0188,-0.4597,+0.3649,-0.5580
27,0.7716,-0.7138,-0.4078,+0.6371
28,0.6123,-0.0784,+0.7917,-0.6384
29,0.0377,-0.4212,+0.3295,-0.5525
30,0.6829,-0.6766,-0.3928,+0.8110
31,0.2587,+0.4942,+0.3629,-0.8708
32,0.0315,-0.4022,+0.2322,-0.4787
33,0.6109,+0.7634,-0.3964,-0.0173
34,0.0333,-0.4124,+0.3360,-0.5644
35,0.0407,-0.4003,+0.3113,-0.5522
36,0.5045,-0.0549,-0.6555,+0.4166
37,0.0435,-0.4141,+0.3083,-0.5399
38,0.2559,-0.7772,+0.3593,+0.1103
39,0.6815,-0.7579,+0.1746,+0.1935
40,0.1133,-0.1936,+0.1662,-0.5506
41,0.7833,-0.6598,-0.4831,+0.7270
42,0.1265,-0.1407,-0.4198,+0.2325
43,0.6720,-0.5657,+0.2409,+0.4342
44,0.2678,+0.5745,+0.5562,-0.8488
45,0.3947,+0.0539,+0.6964,-0.4860
46,0.1938,-0.8563,+0.4030,+0.0207
47,0.0856,-0.4227,+0.3128,-0.5369
48,0.0669,-0.4855,+0.2945,-0.4851
49,0.4779,-0.0343,-0.6933,+0.4866
50,0.6665,-0.6386,-0.4644,+0.8297
51,0.7710,-0.5419,-0.5620,+0.8872
52,0.0357,-0.4283,+0.3419,-0.5588
53,0.4821,+0.0143,+0.6455,-0.3831
54,0.4214,-0.4239,+0.6005,-0.2142
55,0.7349,-0.6158,-0.5277,+0.7908
56,0.6115,-0.4626,-0.5248,+0.9313
57,0.6937,-0.5994,-0.5157,+0.8471
58,0.9327,+0.4527,-0.4018,+0.5904
59,0.1491,+0.4209,+0.6023,-0.9515
60,0.1743,+0.4228,+0.0341,-0.6037
61,0.1711,-0.3488,+0.2963,-0.5612
62,0.9028,+0.8613,-0.4099,+0.0761
63,0.0355,-0.4302,+0.3356,-0.5528
