channel,mean_gate_overall,cor_wifi_f1,cor_imu_f1,cor_imu_sigma
0,0.5654,-0.1412,+0.1798,+0.5829
1,0.4964,-0.0355,+0.3340,+0.0928
2,0.0591,+0.4040,-0.4482,-0.5215
3,0.0483,+0.3642,-0.3430,-0.5093
4,0.6845,-0.2412,+0.2299,+0.6855
5,0.3894,-0.1080,+0.0173,+0.1982
6,0.3209,+0.2614,-0.6365,-0.4922
7,0.1676,+0.1337,-0.0793,-0.3389
8,0.3503,-0.0790,-0.1929,-0.3142
9,0.2864,-0.0790,-0.3557,+0.0223
10,0.1644,+0.2642,-0.2338,-0.4730
11,0.1370,+0.3252,-0.3471,-0.5146
12,0.5692,+0.0380,-0.1201,+0.2474
13,0.0445,+0.3802,-0.3580,-0.4622
14,0.0987,+0.4129,-0.4430,-0.5421
15,0.5266,-0.1935,+0.1247,+0.4408
16,0.5770,-0.1389,+0.3867,+0.4696
17,0.2248,+0.1189,-0.3741,-0.1818
18,0.3115,-0.0126,+0.3331,+0.1077
19,0.1147,+0.2140,-0.4544,-0.4876
20,0.3017,-0.1001,-0.3054,+0.0390
21,0.6463,-0.1880,+0.1760,+0.6337
22,0.2702,-0.1719,+0.1687,+0.4407
23,0.0998,+0.3273,-0.3254,-0.5200
24,0.7986,-0.2966,+0.2737,+0.3862
25,0.0323,+0.3704,-0.3318,-0.3822
26,0.1905,+0.1365,+0.0714,+0.3991
27,0.1826,+0.2912,-0.3050,-0.3241
28,0.3250,-0.0216,-0.3865,-0.0552
29,0.1801,+0.1163,-0.0187,-0.6069
30,0.3124,+0.1383,-0.3451,-0.6524
31,0.2530,+0.1004,+0.3615,-0.0010
32,0.1107,+0.3802,-0.4220,-0.5468
33,0.6468,-0.2132,-0.1789,+0.0676
34,0.5640,-0.1049,+0.5153,+0.1844
35,0.1598,+0.3114,-0.3641,-0.3463
36,0.2577,+0.1544,+0.2892,+0.0434
37,0.1895,+0.2559,-0.2663,-0.2117
38,0.8824,-0.3715,+0.4503,+0.4287
39,0.1499,+0.2604,-0.2633,-0.4806
40,0.0609,+0.4350,-0.4027,-0.4951
41,0.7861,-0.2248,+0.3573,+0.7251
42,0.7120,-0.1832,+0.1816,+0.6707
43,0.0491,+0.3979,-0.4237,-0.5034
44,0.2807,+0.1827,-0.3467,-0.6703
45,0.3181,+0.0193,-0.0331,-0.5565
46,0.2001,+0.3803,-0.6136,-0.1689
47,0.3916,-0.0088,+0.0280,+0.2328
48,0.1624,+0.3216,-0.4063,-0.2110
49,0.0824,+0.3317,-0.2765,-0.4942
50,0.6793,-0.1096,+0.0484,+0.5132
51,0.3929,-0.1069,+0.3003,+0.2722
52,0.1329,+0.1982,+0.1035,-0.3135
53,0.5845,-0.1978,+0.3247,+0.5151
54,0.7306,-0.0943,+0.0686,+0.6024
55,0.0889,+0.2334,-0.5259,-0.3938
56,0.6866,-0.1601,+0.1519,+0.6353
57,0.2573,+0.1334,-0.0435,-0.0256
58,0.0935,+0.3661,-0.3854,-0.4770
59,0.0508,+0.2857,-0.4933,-0.4466
60,0.0391,+0.3960,-0.3337,-0.4975
61,0.0734,+0.3527,-0.3543,-0.4880
62,0.2241,+0.0915,-0.0388,-0.6051
63,0.4196,-0.0245,-0.0411,+0.0006
