channel,cor_sigma_mean,cor_sigma_std,cor_wifi_mean,cor_wifi_std,cor_imu_mean,cor_imu_std
0,+0.0839,0.3831,-0.0782,0.1155,+0.0185,0.4663
1,-0.3601,0.1484,-0.0860,0.1595,-0.4711,0.3074
2,-0.2195,0.2482,-0.2071,0.1002,-0.4220,0.3562
3,+0.0402,0.4705,-0.1570,0.0493,-0.0939,0.5401
4,+0.1119,0.3767,-0.0959,0.1210,+0.1011,0.3182
5,-0.1760,0.1848,-0.1515,0.2376,-0.2530,0.3246
6,-0.0106,0.3190,-0.1014,0.1208,+0.0546,0.2154
7,-0.2060,0.3864,-0.0769,0.2326,-0.2946,0.6316
8,+0.0637,0.1214,-0.0704,0.0735,+0.1869,0.1407
9,-0.0248,0.3411,-0.0077,0.2676,-0.0924,0.4288
10,-0.1891,0.1891,-0.1365,0.1428,-0.2971,0.3807
11,+0.0679,0.4367,-0.0880,0.2452,-0.0340,0.5195
12,-0.1832,0.2762,-0.1512,0.0749,-0.3006,0.4725
13,-0.1577,0.2951,-0.1726,0.0852,-0.2566,0.5453
14,+0.1327,0.2908,-0.1234,0.1758,+0.0298,0.3934
15,-0.1248,0.4512,-0.1530,0.0977,-0.2178,0.5259
16,-0.3970,0.3428,-0.1093,0.2103,-0.5444,0.4155
17,-0.0807,0.3187,-0.0928,0.1330,-0.1505,0.5082
18,-0.0038,0.3249,-0.0535,0.1959,+0.0186,0.5770
19,-0.1195,0.3670,-0.0157,0.3498,-0.2383,0.5242
20,-0.2340,0.4126,-0.0815,0.2458,-0.3548,0.5087
21,+0.1406,0.5011,-0.1419,0.1199,+0.0096,0.4282
22,-0.2978,0.2169,+0.0167,0.3120,-0.3736,0.4442
23,-0.2082,0.2703,-0.1749,0.1490,-0.3689,0.4413
24,-0.0297,0.4497,+0.0197,0.1720,-0.0759,0.5690
25,-0.2072,0.1680,-0.0714,0.1935,-0.3418,0.3930
26,-0.2201,0.2608,-0.1470,0.0976,-0.3891,0.4357
27,+0.0162,0.3549,-0.1329,0.0834,-0.0957,0.3656
28,-0.1718,0.3645,+0.0824,0.3229,-0.2469,0.4711
29,-0.0569,0.1137,-0.0550,0.2803,-0.0346,0.1606
30,-0.0077,0.3985,-0.0489,0.1660,-0.1198,0.5110
31,-0.0273,0.3815,-0.0799,0.2105,-0.0769,0.6521
32,-0.1527,0.3294,-0.0960,0.1345,-0.2033,0.5466
33,-0.2119,0.2524,-0.0487,0.2912,-0.3685,0.4346
34,-0.0344,0.3772,-0.0950,0.1127,-0.1581,0.4863
35,-0.2269,0.3456,+0.0793,0.1793,-0.2245,0.4404
36,-0.0651,0.2312,-0.0404,0.1219,-0.0176,0.4157
37,+0.0835,0.3744,-0.0903,0.2537,+0.0084,0.4955
38,-0.0599,0.2240,-0.0466,0.0718,-0.0244,0.2159
39,+0.1845,0.2265,-0.0913,0.1316,+0.2334,0.1728
40,-0.1732,0.2498,-0.1325,0.1712,-0.2656,0.5442
41,-0.1199,0.5301,-0.1431,0.0599,-0.3274,0.5068
42,+0.1319,0.4452,-0.0374,0.2238,+0.0389,0.5497
43,-0.0283,0.2143,-0.0842,0.1814,-0.1058,0.4015
44,-0.2071,0.2581,-0.1494,0.0673,-0.2693,0.4772
45,-0.4181,0.1821,-0.0899,0.1826,-0.4474,0.3844
46,-0.1581,0.2729,-0.1840,0.1140,-0.2764,0.5280
47,+0.0394,0.2633,-0.1445,0.1805,-0.0236,0.3113
48,-0.0483,0.3516,-0.2356,0.1889,-0.2296,0.3808
49,-0.2187,0.2538,-0.1133,0.1906,-0.3312,0.3437
50,-0.0273,0.2814,-0.0478,0.1943,-0.0555,0.5636
51,+0.2311,0.1280,-0.1011,0.1058,+0.1802,0.1218
52,-0.2639,0.1992,-0.2164,0.1315,-0.4252,0.4735
53,-0.0127,0.2635,-0.0643,0.1827,+0.0017,0.2089
54,-0.2923,0.2301,-0.1479,0.1736,-0.4092,0.4443
55,-0.0054,0.3586,-0.0754,0.1883,-0.0254,0.4652
56,-0.0294,0.3656,-0.1750,0.1501,-0.1986,0.3789
57,-0.0848,0.3093,-0.1944,0.0989,-0.2380,0.4794
58,-0.4202,0.1778,-0.1986,0.0865,-0.6152,0.3505
59,-0.0974,0.4084,-0.1438,0.1815,-0.3232,0.4473
60,-0.0392,0.5044,-0.1291,0.1657,-0.1825,0.5070
61,-0.0851,0.2882,-0.0681,0.3260,-0.1822,0.3587
62,+0.0403,0.4105,-0.1426,0.1497,-0.0694,0.5460
63,-0.0772,0.3322,-0.1281,0.0430,-0.1933,0.4619
