channel,cor_sigma_mean,cor_sigma_std,cor_wifi_mean,cor_wifi_std,cor_imu_mean,cor_imu_std
0,-0.1337,0.2368,-0.1000,0.2412,-0.2714,0.3468
1,-0.0560,0.2341,-0.0240,0.1498,-0.0423,0.2978
2,+nan,nan,+nan,nan,+nan,nan
3,-0.1072,0.4111,-0.0342,0.2962,-0.2360,0.3908
4,+0.0036,0.4483,-0.0554,0.1835,+0.0868,0.4824
5,-0.0228,0.2983,-0.1740,0.1110,-0.2335,0.3221
6,+0.0376,0.5840,-0.0717,0.2180,-0.0134,0.5161
7,+0.1368,0.1866,-0.1035,0.2045,+0.0297,0.3518
8,+0.1178,0.2136,-0.2022,0.1297,-0.0436,0.2631
9,-0.1801,0.2905,+0.1082,0.2465,-0.1150,0.4202
10,+0.0400,0.5583,+0.0134,0.2341,+0.0081,0.4596
11,+nan,nan,+nan,nan,+nan,nan
12,-0.3290,0.2686,-0.0259,0.1375,-0.4001,0.3828
13,-0.1492,0.3867,+0.0528,0.2833,-0.2398,0.3366
14,-0.1157,0.4890,+0.0154,0.2779,-0.2040,0.4000
15,-0.3412,0.2759,+0.0158,0.2387,-0.3400,0.3460
16,-0.1389,0.4175,+0.0169,0.1553,-0.1403,0.4106
17,-0.0877,0.3950,-0.1331,0.1203,-0.1904,0.5130
18,-0.1323,0.3206,+0.0081,0.2044,+0.0273,0.3826
19,-0.3153,0.2647,-0.0547,0.1526,-0.3074,0.1616
20,-0.2278,0.2586,+0.0942,0.2980,-0.2542,0.4441
21,-0.2787,0.2552,-0.0603,0.1897,-0.4172,0.3779
22,-0.0952,0.3388,-0.0179,0.1600,-0.1167,0.4327
23,+0.0321,0.3716,-0.1321,0.1305,-0.1711,0.4229
24,-0.1641,0.3029,+0.0397,0.2111,-0.3149,0.3640
25,+0.0620,0.3031,-0.1727,0.0744,-0.0342,0.4875
26,-0.1117,0.2233,+0.0174,0.3340,-0.1948,0.2620
27,-0.0749,0.3173,-0.0048,0.2122,-0.1235,0.4245
28,-0.1130,0.3109,-0.0695,0.1808,-0.3026,0.3592
29,+nan,nan,+nan,nan,+nan,nan
30,-0.0426,0.4017,-0.0370,0.2331,+0.1234,0.4278
31,+nan,nan,+nan,nan,+nan,nan
32,-0.0420,0.4906,-0.0804,0.3024,-0.1440,0.4934
33,+nan,nan,+nan,nan,+nan,nan
34,-0.1009,0.3909,+0.1122,0.3280,-0.0224,0.3097
35,-0.1185,0.2145,-0.1064,0.1592,-0.1050,0.3586
36,-0.0557,0.4528,-0.0557,0.2855,-0.0486,0.4661
37,-0.1381,0.3288,-0.0597,0.1534,-0.2575,0.4102
38,+nan,nan,+nan,nan,+nan,nan
39,+0.2457,0.3974,-0.1939,0.0968,+0.0359,0.4580
40,+0.1246,0.3148,-0.1318,0.1056,+0.1307,0.4117
41,-0.2752,0.2556,-0.0823,0.1165,-0.3231,0.3566
42,-0.0346,0.4211,-0.0711,0.1757,-0.0606,0.5190
43,+0.0653,0.4168,-0.1426,0.2293,+0.0405,0.3706
44,-0.2059,0.3785,+0.0292,0.2660,-0.1350,0.4234
45,-0.2819,0.2907,-0.0381,0.2321,-0.3760,0.3527
46,-0.2107,0.3430,-0.0372,0.2254,-0.1409,0.3855
47,-0.1099,0.4473,+0.0226,0.2301,-0.1804,0.3703
48,+0.0844,0.2735,-0.1089,0.2350,+0.1296,0.3638
49,-0.2433,0.3263,-0.0703,0.1396,-0.3689,0.3631
50,-0.0078,0.2737,+0.0294,0.2665,-0.0386,0.2764
51,+0.1466,0.3618,-0.0934,0.2425,+0.2539,0.0773
52,-0.1511,0.3799,-0.0357,0.2253,-0.2513,0.4534
53,+0.1585,0.3316,-0.2270,0.2514,+0.0392,0.3401
54,-0.2484,0.2814,+0.0014,0.1707,-0.2921,0.4180
55,+0.0574,0.3392,-0.1810,0.0927,-0.0218,0.3863
56,-0.1104,0.3574,-0.0114,0.1202,-0.0465,0.6180
57,-0.1553,0.1650,-0.1046,0.0870,-0.2134,0.3140
58,-0.0028,0.4996,-0.1718,0.2175,-0.1014,0.3940
59,-0.2569,0.2513,+0.0441,0.3055,-0.3266,0.3762
60,-0.2801,0.2716,-0.0055,0.2527,-0.4274,0.3850
61,-0.1173,0.4660,-0.0299,0.2418,-0.2733,0.4918
62,+nan,nan,+nan,nan,+nan,nan
63,-0.1922,0.2919,-0.0319,0.2177,-0.2571,0.3268
