class,label,is_posture,wifi_f1,imu_f1,gate,imu_sigma
0,standing,1,0.0818,0.4103,0.2834,0.0501
1,walking,0,0.2471,0.5270,0.2511,0.3911
2,jumping,0,0.0000,0.8295,0.2596,0.3573
3,sitting,1,0.1975,0.9489,0.3306,0.0359
4,lying,1,0.0533,0.9722,0.2808,0.2916
5,wave right,0,0.0426,0.9796,0.4064,0.4643
6,drink,0,0.0000,0.3158,0.3064,0.0942
7,torso-twist,0,0.0231,0.8690,0.2604,0.7063
8,kick right,0,0.0909,1.0000,0.4064,0.0319
9,right hand up,0,0.0721,0.6882,0.3173,0.2861
10,draw cw,0,0.0000,0.9536,0.2987,1.4693
11,turn left,0,0.1053,0.6815,0.2686,0.3295
12,turn right,0,0.0323,0.5755,0.2586,0.3800
13,wave left,0,0.0112,0.9536,0.2939,1.0191
14,throw,0,0.0377,0.8652,0.3571,0.7623
15,kick left,0,0.0000,0.6772,0.3056,1.2427
16,golf swing,0,0.0171,0.8605,0.2991,1.2582
17,basketball,0,0.0168,0.6565,0.3274,0.3084
18,boxing,0,0.0000,0.8226,0.2749,0.5421
19,squatting,0,0.1250,0.8058,0.3453,0.3179
20,push,0,0.1571,0.7536,0.2669,0.3955
21,pull,0,0.0179,0.6569,0.2910,0.5855
22,bend (stand),0,0.0244,0.4500,0.2951,0.6375
23,bend (sit),0,0.0157,0.8214,0.3409,0.8584
24,leg stretch,0,0.1628,0.4387,0.2589,0.1772
25,left hand up,0,0.0185,0.7130,0.2846,0.9082
26,draw ccw,0,0.1871,0.9865,0.3269,0.9271
